date,title,skills
2020-10-22,Инженер поддержки,"Администрирование,Средний (Middle),Git,CI/CD methodologies,Powershell,Kafka"
2020-10-22,Системный аналитик DWH,"Аналитика,Средний (Middle),SQL,Базы данных,Разработка решений по интеграции,Dwh,Системный анализ"
2020-10-22,Mobile QA-инженер (Travel),"Тестирование,Средний (Middle),Тестирование мобильных приложений,Автоматизация тестирования,Swift,Java,Kotlin"
2020-10-22,Java-разработчик (TCRM),"Бэкенд,Средний (Middle),Java,Java spring framework,Spring Boot,Kafka,SQL"
2020-10-22,Go-разработчик (DevPlatform),"Бэкенд,Средний (Middle),Golang,SQL,CI/CD methodologies,Kubernetes"
2020-10-22,DevOps-инженер (API),"Администрирование,Средний (Middle),Python,Golang,Высоконагруженные системы,Docker,Ansible,Администрирование Linux,Teamcity,Jenkins,Prometheus,CI/CD methodologies,Devops"
2020-10-21,Java developer,"Бэкенд,Средний (Middle),Java,SQL,Oracle,PostgreSQL,Java spring framework,Hibernate"
2020-10-21,Java - разработчик,"Бэкенд,Старший (Senior),Java,Java spring framework,Hibernate,PostgreSQL,Kotlin"
2020-10-20,iOS Разработчик,"Приложения,Swift,Разработка под iOS,Xcode,CoreData,Objective-С"
2020-10-20,Android разработчик,"Приложения,Java core,Kotlin,RxJava 2,Разработка под Android,Android studio"
2020-10-20,Middle/Senior iOS-разработчик,"Приложения,Средний (Middle),Swift,Разработка мобильных приложений,Разработка под iOS,Разработка мобильных приложений,Objective-С"
2020-10-20,QA automation (MVNO),"Тестирование,Средний (Middle),Java,Git,Restful api,Jenkins,Автоматизация тестирования,Тестирование ПО"
2020-10-20,"Full-stack разработчик (С#, .NET)","Бэкенд,Средний (Middle),C#,.NET,.net core,ReactJS,PostgreSQL"
2020-10-16,Senior Infrastructure Developer / SRE,"Администрирование,Старший (Senior),Java,Kotlin,CI/CD methodologies,Администрирование *nix"
2020-10-16,Java Lead в Core команду,"Менеджмент,Ведущий (Lead),Java,Java core,CI/CD methodologies,ООП"
2020-10-16,Android Dveloper,"Разработка ПО,Старший (Senior),Java,Kotlin,Разработка под Android,Разработка мобильных приложений"
2020-10-16,Scala Developer,"Бэкенд,Средний (Middle),Scala,Websockets,SQL,Oracle"
2020-10-16,Middle/Senior системный аналитик,"Аналитика,Средний (Middle),SQL,Jira,Аналитика требований"
2020-10-16,DevOps (WebOffice),"Администрирование,Linux,Kubernetes,CI/CD methodologies,Ansible,Zabbix,Devops,Jenkins,Grafana,PostgreSQL,Kafka,Rabbitmq"
2020-10-15,Full-Stack NodeJS+React Reveloper,"Бэкенд,Средний (Middle),Node.js,ReactJS,JavaScript,ООП,PostgreSQL,ExpressJS"
2020-10-15,DevOps-инженер (TQM),"Поддержка,Средний (Middle),Docker,Redis,Teamcity,Prometheus,Grafana,Ansible,Kubernetes"
2020-10-15,Системный аналитик (Голосовые роботы),"Аналитика,Средний (Middle),Python,Системный анализ,Bash,Perl,Базы данных,Базы данных"
2020-10-15,Java-разработчик,"Бэкенд,Средний (Middle),Java,Oracle,Spring Boot,Java spring framework"
2020-10-15,Python-разработчик (команда финансового ассистента Олега),"Бэкенд,Средний (Middle),Python,Docker,PostgreSQL,PostgreSQL,Redis"
2020-10-26,Системный инженер Linux,"Администрирование,Средний (Middle),Microsoft exchange server,Powershell,Active directory"
