date,title,skills
2018-07-10,UI/UX дизайнер,"Дизайн,UI/UX дизайн,Sketch,Прототипирование,Проектирование интерфейсов,Дизайн продукта"
2018-07-09,Full-Stack .NET Developer,"Бэкенд,JavaScript,.NET,ASP.NET MVC,Angular"
2018-07-09,Менеджер по контекстной рекламе,"Маркетинг,Контекстная реклама,Интернет маркетинг,Google adwords,Яндекс директ,Google Analytics,Яндекс.Метрика,Повышение конверсии"
2018-07-05,Разработчик PL/SQL,"Разработка ПО,Pl/sql,SQL,Базы данных,Oracle"
2018-07-05,Инженер по производительности БД Oracle процессингового центра / Oracle DBA,"Аналитика,SQL,Oracle"
2018-07-05,Python/Django разработчик,"Разработка ПО,Python,Django"
2020-09-14,Frontend разработчик Angular (удаленка) ,"Фронтенд,Старший (Senior),JavaScript,Angular,Typescript"
2020-08-10,QA engineer (DWH) ,"Тестирование,Средний (Middle),SQL,PostgreSQL,SAS,Unix,Linux"
2020-08-03,Senior front-end разработчик (Angular),"Фронтенд,Старший (Senior),JavaScript,Angular"
2020-08-03,Senior front-end разработчик (React),"Фронтенд,JavaScript,ReactJS"
2020-07-20,Java-разработчик,"Бэкенд,Средний (Middle),Java,Spring Boot"
2020-07-20,DevOps-инженер,"Разработка ПО,Devops,CI/CD methodologies,Kubernetes,Bash,Python,Docker"
2020-07-20,Разработчик баз данных (Pl/SQL),"Разработка ПО,Средний (Middle),Oracle pl,Oracle,Базы данных,Pl/sql"
2020-07-20,Middle/Senior QA-инженер,"Тестирование,Средний (Middle),Python,Bdd tdd"
2020-07-20,Middle/Senior Data Scientist (NLP),"Другое,Средний (Middle),Машинное обучение,Нейронные сети"
2020-07-20,Senior Python-разработчик,"Бэкенд,Старший (Senior),Python,Docker"
2020-07-20,Site Reliability Engineer (SRE) Adtech,"Приложения,Средний (Middle),Kubernetes,Docker,Linux,Высоконагруженные системы"
2020-07-20,Старший системный инженер в K8S (DevOps),"Приложения,Средний (Middle),Kubernetes"
2020-07-20,Senior GO-разработчик,"Бэкенд,Старший (Senior),Python,Golang"
2020-07-20,DevOps,"Администрирование,Средний (Middle),Linux,Администрирование freebsd,Shell,Bash,HTTP"
2020-05-28,Разработчик Golang,"Бэкенд,Golang,SQL,Git,Docker"
